machine,from,to,required_evidence,forbidden_submission_certainty
orderCandidate,CREATED,EVALUATING,,
orderCandidate,EVALUATING,APPROVED,,
orderCandidate,EVALUATING,REJECTED,,
orderCandidate,EVALUATING,BLOCKED_UNCERTAIN,,
orderCandidate,EVALUATING,MANUAL_REVIEW_REQUIRED,,
orderCandidate,EVALUATING,EXPIRED,,
orderIntent,READY,DISPATCHED,,
orderIntent,READY,EXPIRED,,
orderIntent,READY,CANCELED,,
orderIntent,DISPATCHED,ACCEPTED_BY_EXECUTOR,,
orderIntent,DISPATCHED,REJECTED_BY_EXECUTOR,,
riskReservation,ACTIVE,PARTIALLY_CONSUMED,,
riskReservation,ACTIVE,CONSUMED,,
riskReservation,ACTIVE,RELEASED,,UNKNOWN
riskReservation,ACTIVE,EXPIRED,,UNKNOWN
riskReservation,PARTIALLY_CONSUMED,CONSUMED,,
riskReservation,PARTIALLY_CONSUMED,RELEASED,,UNKNOWN
riskReservation,PARTIALLY_CONSUMED,EXPIRED,,UNKNOWN
brokerOrder,SUBMITTING,PENDING,,
brokerOrder,SUBMITTING,BROKER_REJECTED,,
brokerOrder,SUBMITTING,UNKNOWN,,
brokerOrder,PENDING,PARTIALLY_FILLED,,
brokerOrder,PENDING,FILLED,,
brokerOrder,PENDING,CANCEL_PENDING,,
brokerOrder,PENDING,REPLACE_PENDING,,
brokerOrder,PENDING,UNKNOWN,,
brokerOrder,PARTIALLY_FILLED,FILLED,,
brokerOrder,PARTIALLY_FILLED,CANCEL_PENDING,,
brokerOrder,PARTIALLY_FILLED,REPLACE_PENDING,,
brokerOrder,PARTIALLY_FILLED,UNKNOWN,,
brokerOrder,CANCEL_PENDING,PARTIALLY_FILLED,,
brokerOrder,CANCEL_PENDING,FILLED,,
brokerOrder,CANCEL_PENDING,CANCELED,,
brokerOrder,CANCEL_PENDING,UNKNOWN,,
brokerOrder,REPLACE_PENDING,PARTIALLY_FILLED,,
brokerOrder,REPLACE_PENDING,FILLED,,
brokerOrder,REPLACE_PENDING,REPLACED,,
brokerOrder,REPLACE_PENDING,UNKNOWN,,
brokerOrder,UNKNOWN,RECONCILIATION_REQUIRED,,
brokerOrder,RECONCILIATION_REQUIRED,PENDING,RECONCILIATION,
brokerOrder,RECONCILIATION_REQUIRED,PARTIALLY_FILLED,RECONCILIATION,
brokerOrder,RECONCILIATION_REQUIRED,FILLED,RECONCILIATION,
brokerOrder,RECONCILIATION_REQUIRED,CANCELED,RECONCILIATION,
brokerOrder,RECONCILIATION_REQUIRED,REPLACED,RECONCILIATION,
brokerOrder,RECONCILIATION_REQUIRED,BROKER_REJECTED,RECONCILIATION,
